Unnamed: 0,difference,p-val,p-adj,result
FAM27C,2.885159744,0.008728088,0.77332025,ЛОЖЬ
RPA4,2.833525799,0.001913816,0.660735925,ЛОЖЬ
CES3,2.62360682,0.000988277,0.527791961,ЛОЖЬ
SNORA26,2.502766182,0.004042471,0.7438617,ЛОЖЬ
TUSC8,2.411568322,0.007673257,0.77332025,ЛОЖЬ
NR4A3,2.338546539,0.00831306,0.77332025,ЛОЖЬ
MARVELD3,2.156824222,0.000278566,0.377569804,ЛОЖЬ
NR4A1,2.110771717,0.001508508,0.586100361,ЛОЖЬ
RFPL3S,2.043064964,0.000764539,0.492000909,ЛОЖЬ
